,Median Age,Population,Household Income,Per Capita Income,Zipcode
0,34.4,32692.0,76623.0,31766.0,78610.0
1,35.1,77779.0,96857.0,38378.0,78613.0
2,29.6,27900.0,52819.0,18598.0,78617.0
3,40.9,4965.0,87520.0,37864.0,78652.0
4,32.7,20822.0,66752.0,24618.0,78653.0
5,34.3,85450.0,81693.0,32759.0,78660.0
6,35.4,7875.0,112201.0,109136.0,78701.0
7,33.3,22876.0,54053.0,31332.0,78702.0
8,36.0,20788.0,98553.0,79101.0,78703.0
9,32.6,47158.0,66262.0,46947.0,78704.0
10,21.0,33075.0,15309.0,12956.0,78705.0
11,19.6,845.0,-666666666.0,3606.0,78712.0
12,34.7,27764.0,104167.0,45258.0,78717.0
13,43.5,2007.0,46833.0,16838.0,78719.0
14,34.6,12447.0,41611.0,20187.0,78721.0
15,32.6,7254.0,69267.0,43161.0,78722.0
16,33.7,33170.0,49606.0,29017.0,78723.0
17,28.4,24833.0,45158.0,15450.0,78724.0
18,35.2,7517.0,62172.0,23671.0,78725.0
19,31.8,14610.0,88322.0,47885.0,78726.0
20,36.4,28999.0,74458.0,41208.0,78727.0
21,34.2,21245.0,55603.0,35054.0,78728.0
22,34.1,29434.0,73047.0,39379.0,78729.0
23,41.4,8933.0,108750.0,76909.0,78730.0
24,38.2,27447.0,89099.0,64934.0,78731.0
25,39.2,17762.0,142612.0,62783.0,78732.0
26,40.6,8754.0,136563.0,71845.0,78733.0
27,46.0,18722.0,107827.0,56728.0,78734.0
28,38.1,17919.0,102551.0,63894.0,78735.0
29,42.9,8199.0,107467.0,50611.0,78736.0
30,42.0,15879.0,127136.0,50418.0,78737.0
31,39.3,20191.0,147736.0,55652.0,78739.0
32,27.8,52307.0,39049.0,22181.0,78741.0
33,46.5,517.0,33182.0,23591.0,78742.0
34,29.3,48432.0,47073.0,18572.0,78744.0
35,35.4,62220.0,60567.0,32404.0,78745.0
36,42.2,28268.0,136138.0,84115.0,78746.0
37,32.1,20954.0,79500.0,27493.0,78747.0
38,33.9,49142.0,74176.0,34595.0,78748.0
39,36.7,37453.0,92313.0,45232.0,78749.0
40,39.1,30758.0,81061.0,47248.0,78750.0
41,29.5,14949.0,54129.0,42009.0,78751.0
42,30.4,20302.0,41486.0,24519.0,78752.0
43,30.9,58693.0,45983.0,22774.0,78753.0
44,32.6,23858.0,64114.0,30299.0,78754.0
45,36.0,8377.0,73578.0,56590.0,78756.0
46,37.0,24059.0,65709.0,43043.0,78757.0
47,31.4,46618.0,50018.0,27889.0,78758.0
48,40.0,41847.0,76749.0,51401.0,78759.0
